project_id,project_name,department,owner,budget_usd,target_budget,start_date,status,termination_reason
1,Google Glass,R&D,Sundar Team,5000000,4500000,2014-01-01,Terminated,Low Adoption
2,Google Plus,Product,Larry Team,3000000,2700000,2014-01-01,Terminated,Poor Engagement
3,Google Stadia,Gaming,Pichai Team,7000000,6300000,2014-01-01,Terminated,Market Saturation
4,Amazon Dash,Product,Bezos Unit,4000000,3600000,2014-01-01,Terminated,Low Adoption
5,Meta Portal,Product,Zuckerberg Lab,3500000,3150000,2014-01-01,Terminated,Poor Engagement
6,IBM Watson for Oncology,R&D,IBM Watson,8000000,7200000,2014-01-01,Terminated,Strategic Shift
7,Project_7,Compliance,Raj Patel,9249732,6675852,2022-09-25,Completed,
8,Project_8,HR,Alice Kumar,9242600,7439183,2023-01-14,Completed,
9,Project_9,Compliance,Pichai Team,2708513,2041754,2021-10-10,Active,
10,Project_10,HR,Sundar Team,7807870,6512208,2022-03-31,Terminated,Low Adoption
11,Project_11,IT,Bezos Unit,4955124,4689060,2020-08-11,Active,
12,Project_12,Marketing,Larry Team,4579144,4008834,2018-10-20,Active,
13,Project_13,Legal,Zuckerberg Lab,5540561,5045860,2018-08-18,Completed,
14,Project_14,Operations,John Mehta,9615702,8837713,2021-07-12,Terminated,Poor Engagement
15,Project_15,Marketing,John Mehta,9142538,7000307,2022-10-21,Completed,
16,Project_16,Finance,Raj Patel,1939607,1431837,2019-10-18,Completed,
17,Project_17,HR,Elena Singh,9381590,8585983,2018-02-17,Completed,
18,Project_18,Legal,Larry Team,7394150,5468265,2018-01-14,Active,
19,Project_19,R&D,Bezos Unit,3437174,2537355,2019-10-24,Completed,
20,Project_20,Operations,Larry Team,5259230,3996294,2020-09-13,Terminated,Strategic Shift
21,Project_21,Sales,IBM Watson,8073915,7562934,2019-11-08,Active,
22,Project_22,Compliance,John Mehta,6793979,6446041,2022-03-10,Completed,
23,Project_23,Product,Alice Kumar,3960684,3355135,2018-01-30,Completed,
24,Project_24,Operations,Mohit Rana,8243903,6212268,2019-06-26,Active,
25,Project_25,Strategy,Raj Patel,7331838,5781699,2022-08-11,Active,
26,Project_26,IT,Pichai Team,1933230,1473438,2020-02-19,Completed,
27,Project_27,Finance,John Mehta,1364748,1106514,2019-02-06,Terminated,Low Adoption
28,Project_28,Finance,Elena Singh,6828339,6320383,2019-11-06,Active,
29,Project_29,R&D,Pichai Team,9424245,8156380,2023-06-17,Completed,
30,Project_30,Compliance,Mohit Rana,5361415,3829612,2023-05-07,Active,
31,Project_31,Operations,Priya Das,4046066,3240671,2020-10-05,Active,
32,Project_32,Sales,Larry Team,3526900,3059344,2021-07-10,Terminated,Poor Engagement
33,Project_33,Finance,Larry Team,1317071,925016,2019-02-14,Terminated,Low Adoption
34,Project_34,Product,Sundar Team,9213685,8070128,2023-12-07,Active,
35,Project_35,R&D,Raj Patel,9381552,6931672,2021-02-28,Terminated,Strategic Shift
36,Project_36,Sales,Elena Singh,952264,688557,2022-10-01,Active,
37,Project_37,Legal,Sundar Team,7512769,6295100,2022-10-18,Active,
38,Project_38,IT,Larry Team,2584601,2086927,2018-06-21,Completed,
39,Project_39,Legal,John Mehta,6033742,5400374,2022-07-23,Completed,
40,Project_40,Gaming,Alice Kumar,5673147,5080851,2022-08-14,Active,
41,Project_41,IT,Elena Singh,7822606,6159634,2020-07-21,Active,
42,Project_42,R&D,Raj Patel,4782940,3767935,2023-09-18,Terminated,Budget Cuts
43,Project_43,R&D,Alice Kumar,7390770,5812262,2021-07-08,Active,
44,Project_44,IT,Zuckerberg Lab,8822815,8217515,2020-03-18,Active,
